Best Position,Nationality,Age,Height(in cm),Weight(in kg),Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,DistancesToClusterCenter no.3,DistancesToClusterCenter no.4,DistancesToClusterCenter no.5,DistancesToClusterCenter no.6,DistancesToClusterCenter no.7,DistancesToClusterCenter no.8,DistancesToClusterCenter no.9,DistancesToClusterCenter no.10,DistancesToClusterCenter no.11,DistancesToClusterCenter no.12,DistancesToClusterCenter no.13
RM,Republic of Ireland,24,185,77,Right,3,2,1,Medium,Medium,82,53,56,63,35,55,52,53,41,58,50,61,52,59,57,62,81,83,74,53,68,54,55,61,57,52,41,33,55,54,54,61,31,35,41,6,11,13,10,7,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RM,Uganda,24,174,72,Right,3,3,1,High,Medium,72,58,58,67,55,70,48,58,41,65,51,64,52,35,62,66,70,74,78,62,82,61,76,82,71,55,51,58,61,59,58,59,57,57,54,14,10,6,12,10,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,England,25,179,81,Left,3,3,1,Medium,Low,78,61,62,69,31,58,64,64,44,65,44,71,62,50,59,68,80,77,71,68,66,59,33,60,64,59,48,28,66,60,65,58,26,33,32,12,10,6,10,16,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Australia,25,198,85,Right,2,1,1,Medium,Medium,55,58,58,58,24,58,12,5,12,24,6,13,14,10,25,17,23,26,32,44,28,44,34,19,70,8,31,11,7,41,10,32,9,10,12,55,58,58,58,58,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Cyprus,17,183,77,Right,3,3,1,Medium,Low,68,51,44,55,40,61,33,55,53,48,49,60,49,34,31,50,70,67,60,52,49,49,52,60,63,45,61,48,55,60,40,47,36,36,38,16,8,14,7,13,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,France,20,178,71,Left,2,4,1,High,Medium,82,58,58,70,26,50,61,58,40,60,49,72,56,48,52,64,88,77,87,53,86,61,34,57,50,57,45,21,62,58,63,60,21,31,25,12,10,11,8,14,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Senegal,20,188,74,Right,2,2,1,Low,Medium,68,34,45,56,67,72,23,35,73,64,24,52,28,25,60,57,64,72,59,64,56,39,79,72,76,22,62,68,57,30,35,62,66,67,64,14,13,13,14,14,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Argentina,31,185,80,Right,3,2,1,Low,Medium,51,31,48,49,70,70,33,21,75,66,24,44,34,32,45,50,48,53,48,65,52,57,77,50,77,31,74,65,29,41,30,68,70,70,70,11,11,7,11,12,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Serbia,31,187,85,Right,3,1,1,Medium,Medium,68,66,62,68,37,64,16,11,13,31,11,14,16,12,22,21,36,38,39,66,42,47,65,24,70,12,31,12,8,35,20,52,9,14,11,68,66,62,64,68,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Poland,22,195,86,Right,3,1,1,Medium,Medium,58,54,54,57,26,56,13,8,10,16,5,6,10,14,16,13,22,31,38,46,22,41,32,22,72,9,28,10,6,41,18,22,5,13,13,58,54,54,56,57,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,Uruguay,24,184,78,Left,3,3,1,High,Medium,74,50,66,71,74,76,74,49,71,70,38,72,67,41,60,76,71,76,66,78,41,56,74,76,74,48,79,75,63,60,42,70,72,76,75,14,14,12,13,15,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,Argentina,23,183,75,Left,3,3,1,High,Medium,78,41,56,68,63,70,67,35,45,59,34,70,49,37,56,66,75,80,71,64,73,50,61,80,66,44,68,57,50,46,43,53,65,69,68,8,6,8,7,8,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Spain,24,178,69,Right,5,3,1,Medium,Low,73,66,62,71,36,61,54,68,59,67,60,70,66,50,60,71,75,72,80,64,73,66,70,65,61,67,56,29,70,67,55,68,34,39,26,11,9,13,9,13,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,England,18,185,74,Right,3,2,1,Medium,Medium,53,42,39,37,52,55,35,40,48,44,36,31,37,33,48,37,52,53,49,51,51,55,68,55,53,29,59,52,33,31,65,48,52,54,52,13,13,15,11,11,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,Ecuador,26,164,60,Left,2,2,1,High,Medium,76,33,50,55,59,58,60,35,54,57,24,49,51,29,43,57,71,80,70,60,81,36,59,71,56,26,47,62,44,39,37,45,58,61,57,13,6,12,13,14,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Austria,22,190,77,Right,3,2,1,Medium,Medium,50,29,42,39,64,71,35,25,64,54,31,32,41,27,46,42,46,53,36,60,58,39,51,65,77,30,68,62,22,31,35,58,63,67,65,6,11,8,13,12,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Argentina,31,185,75,Right,3,3,1,High,Medium,66,67,63,66,27,69,62,67,68,64,68,66,59,52,59,68,64,68,65,65,57,66,68,73,71,64,61,26,70,67,70,68,20,21,23,6,13,13,13,15,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Argentina,31,181,76,Right,2,1,1,Medium,Medium,73,71,63,74,47,72,14,20,17,27,16,17,18,18,23,19,49,43,45,66,57,47,71,34,62,14,23,19,11,56,22,50,15,19,12,73,71,63,72,74,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LWB,Spain,24,174,72,Left,2,3,1,High,High,84,49,63,67,64,75,68,48,59,67,35,67,61,39,61,66,82,85,75,69,71,59,63,87,74,41,63,66,70,61,46,58,65,63,60,9,10,15,10,14,11,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951
GK,Spain,37,186,81,Right,3,1,1,Medium,Medium,69,67,65,72,56,71,8,10,12,30,13,12,20,12,36,18,54,59,57,70,58,49,66,44,65,20,35,23,9,31,24,50,17,11,12,69,67,65,71,72,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,France,21,185,79,Right,3,3,1,Medium,Medium,74,70,55,68,26,68,48,72,72,62,66,69,56,49,47,70,73,74,66,66,58,71,64,62,76,66,56,15,71,56,61,69,24,21,18,7,10,7,6,5,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CDM,Switzerland,36,183,80,Left,3,2,1,Medium,Medium,47,63,71,64,70,69,73,55,66,70,55,65,74,72,71,68,45,48,45,63,58,74,67,68,70,68,67,69,65,69,68,69,70,71,70,4,5,6,5,4,4,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LWB,England,29,185,73,Left,4,3,1,High,Medium,73,66,68,71,62,69,70,62,57,69,67,70,66,51,67,71,69,77,73,69,71,74,77,81,74,72,39,57,65,69,55,69,66,64,62,8,11,8,16,6,11,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951
CAM,England,24,177,70,Right,3,4,1,High,Medium,73,67,71,76,42,51,67,69,43,74,62,76,70,64,67,77,74,72,80,72,74,65,46,66,45,67,48,38,72,75,58,74,47,44,30,10,8,14,15,16,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CDM,England,21,185,69,Right,3,3,1,Medium,Medium,71,46,55,63,55,71,49,37,52,61,40,62,50,39,59,60,72,70,67,58,83,60,74,68,74,55,67,55,49,53,37,58,53,57,56,11,10,14,11,11,4,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,England,27,175,78,Right,2,2,1,Medium,Medium,49,48,56,62,60,67,37,48,53,64,35,60,44,50,63,61,46,51,74,62,74,47,79,74,68,53,51,60,54,61,48,58,61,61,59,8,12,10,13,9,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Congo,26,194,87,Right,3,2,1,Medium,Medium,53,67,49,54,29,69,46,67,73,58,65,54,38,41,38,59,51,55,48,54,38,70,56,52,85,63,54,22,65,50,65,59,21,28,21,6,9,8,11,10,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Italy,30,185,80,Right,2,2,1,Low,High,54,32,39,43,70,66,31,27,60,52,31,35,38,37,33,47,54,54,53,59,55,46,69,64,72,31,51,61,21,28,41,52,77,72,66,12,10,13,15,6,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Spain,32,171,67,Right,4,4,2,High,Medium,80,75,79,81,63,72,73,77,65,81,65,81,77,79,79,80,84,76,90,77,76,70,62,84,70,76,63,66,77,84,74,77,63,63,55,16,16,9,14,9,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
GK,Germany,22,190,84,Right,3,1,1,Medium,Medium,59,55,58,62,23,55,12,8,8,24,8,20,14,12,20,18,18,30,22,47,20,44,52,25,57,7,25,15,5,30,17,30,7,12,7,59,55,58,55,62,3,1.3943831814446,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,Bosnia and Herzegovina,31,181,72,Left,3,3,1,High,High,67,60,69,71,64,71,60,57,57,73,52,70,66,58,71,72,66,67,73,64,70,65,68,75,73,67,61,67,67,71,47,72,63,65,61,10,9,6,14,6,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CM,England,22,178,76,Right,3,2,1,Medium,Medium,61,57,64,65,60,64,61,54,48,68,52,63,64,62,63,66,69,54,74,60,75,64,67,71,62,59,61,61,54,62,52,63,59,65,55,10,12,5,5,13,5,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,England,22,188,80,Right,3,2,1,High,Medium,55,37,53,60,71,70,41,20,68,64,28,63,28,28,64,62,58,52,42,68,53,67,67,69,71,51,68,72,34,48,31,54,71,71,68,13,10,11,5,15,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Spain,21,184,76,Right,3,2,1,Medium,High,58,40,54,55,63,63,45,30,60,63,30,53,41,23,56,56,63,54,55,55,63,63,65,60,66,42,60,63,45,55,41,52,64,63,63,9,6,7,12,12,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,Scotland,21,191,65,Left,3,2,1,Medium,High,70,26,54,58,60,65,59,24,52,58,28,58,51,32,52,56,72,68,63,58,61,27,59,69,68,23,53,60,48,48,34,51,61,62,60,12,12,9,11,8,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Israel,28,173,66,Right,5,4,1,High,Medium,78,60,66,77,57,60,58,64,48,72,51,78,58,39,68,75,81,76,89,69,81,62,57,68,56,54,61,56,62,72,41,65,60,60,50,12,13,6,8,9,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LM,Algeria,30,178,75,Right,3,4,1,Medium,Low,79,74,72,79,26,68,75,71,38,72,73,81,82,59,67,80,78,80,75,69,79,81,44,68,70,75,67,29,69,71,67,78,24,24,21,14,10,8,12,11,9,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CDM,China PR,31,187,83,Right,2,2,1,Low,Medium,64,40,55,60,53,68,46,37,44,67,46,64,38,33,63,62,63,64,56,45,50,52,70,71,74,32,51,57,47,49,36,51,52,57,47,11,9,8,6,13,4,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RM,Germany,28,185,84,Right,4,3,1,High,Medium,71,63,73,69,61,77,77,60,57,71,60,70,74,64,69,69,70,72,65,70,62,69,60,88,75,64,71,60,72,75,62,70,60,62,62,10,6,7,13,10,6,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Spain,20,177,70,Right,3,3,1,Medium,Medium,64,59,64,67,55,61,55,60,41,69,46,71,64,58,67,65,60,68,60,63,73,59,58,47,65,59,70,66,58,64,63,45,49,63,40,14,13,9,8,15,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LWB,England,20,180,70,Left,2,2,1,Medium,Medium,64,45,48,54,46,54,54,46,38,49,33,53,60,28,46,52,65,64,62,50,60,48,54,68,48,47,49,44,44,44,32,48,47,50,46,14,6,13,15,12,11,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951
LW,Ghana,22,168,68,Right,3,3,1,High,Medium,90,56,53,69,30,60,55,59,44,55,52,65,52,40,48,67,90,90,93,57,91,60,87,61,55,48,62,28,62,54,40,58,28,28,28,13,9,14,12,14,13,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0
CAM,Czech Republic,27,169,62,Right,3,3,1,High,Medium,73,64,71,75,33,51,71,67,44,72,55,75,69,70,65,73,76,71,78,67,83,58,67,66,42,68,52,22,71,74,54,76,32,35,41,13,9,14,11,8,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
RB,Bolivia,28,173,65,Right,3,2,1,Medium,Medium,63,35,62,59,68,58,57,29,55,72,31,52,38,40,70,65,56,69,62,62,81,52,71,83,40,32,66,67,35,57,41,49,73,69,65,14,8,13,13,8,8,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,England,30,198,92,Right,3,2,1,Medium,Medium,46,60,49,54,57,76,34,59,68,57,60,53,39,39,46,65,45,46,34,62,32,63,81,70,83,58,67,58,66,57,57,58,56,55,54,15,13,8,8,7,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CAM,Portugal,17,186,80,Right,3,2,1,Medium,Medium,55,56,60,65,52,57,49,54,52,64,49,67,60,47,62,65,55,55,70,57,54,67,51,34,72,53,49,56,58,65,48,59,41,58,55,12,10,13,6,7,1,1.3943831814446,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Belgium,18,191,78,Right,5,2,1,Medium,High,64,25,47,45,57,55,40,20,56,62,19,38,24,27,56,50,61,66,52,49,58,34,69,33,65,25,55,58,23,31,33,48,54,61,56,13,6,8,12,8,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,Australia,19,178,70,Right,2,2,1,High,Low,78,48,41,55,30,46,32,58,53,43,34,50,37,32,40,55,80,77,77,47,65,45,47,66,41,33,35,20,43,50,58,53,32,30,25,8,14,13,12,15,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LB,Germany,26,180,73,Left,3,2,1,Medium,Medium,65,32,54,58,58,60,56,28,48,59,37,59,55,40,50,55,66,64,66,59,68,34,65,68,55,30,60,55,48,50,38,43,57,64,61,12,9,11,13,15,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Republic of Ireland,21,193,81,Right,3,2,1,Medium,High,71,30,54,61,76,76,50,29,74,66,22,60,39,25,64,65,64,77,46,73,53,46,77,72,79,19,75,74,24,39,35,73,76,77,74,9,10,6,13,9,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,Republic of Ireland,20,188,76,Right,2,2,1,Medium,Medium,47,30,42,42,56,60,34,26,57,54,33,38,32,30,46,46,50,45,39,48,54,39,63,57,63,28,54,52,29,30,36,41,56,59,57,14,9,13,7,6,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
LW,Uruguay,21,169,69,Left,4,3,1,Medium,Medium,71,54,45,59,30,48,56,59,27,42,43,60,45,62,29,55,72,70,69,60,79,48,52,67,44,51,31,29,62,47,49,39,45,19,20,8,12,13,5,9,13,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0
LB,Belgium,27,180,70,Left,2,2,1,Medium,Medium,68,23,49,58,62,57,53,15,58,59,28,55,30,36,57,58,67,69,69,60,67,32,68,57,57,24,55,64,34,28,39,57,60,64,60,8,7,10,11,10,7,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
ST,England,30,180,66,Right,3,4,2,High,Medium,81,78,66,77,42,76,61,83,78,72,71,77,63,45,62,79,78,83,73,80,72,78,70,69,80,68,74,40,84,70,83,79,38,40,27,10,15,8,10,6,0,0.04054511360014589,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CDM,China PR,27,182,70,Right,2,2,1,Medium,High,54,31,48,53,53,65,41,26,56,55,25,49,32,30,49,52,43,63,68,50,63,45,62,78,61,26,60,52,39,48,39,50,53,54,53,14,6,15,5,11,4,1.3943831814446,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,England,30,191,82,Left,2,2,1,Medium,Medium,51,29,47,49,61,75,41,20,61,54,26,49,19,25,57,51,53,49,43,59,36,45,69,76,80,32,64,61,23,44,34,58,60,62,60,11,13,6,16,7,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
CB,China PR,37,185,78,Right,3,2,1,Medium,Medium,53,36,46,46,60,64,38,35,61,53,26,43,32,36,51,45,50,56,51,49,57,45,65,61,70,32,51,59,38,45,37,46,61,62,56,14,13,7,9,13,2,1.3943831814446,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951
